ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,AGEE81001L,SCUOLA PRIMARIA,5,47,44,3,1,2
202425,PRMM80901B,SCUOLA SECONDARIA I GRADO,3,82,61,21,5,16
202425,BAEE897025,SCUOLA PRIMARIA,2,3,3,0,0,0
202425,PTEE811079,SCUOLA PRIMARIA,4,20,18,2,0,2
202425,GEEE83601E,SCUOLA PRIMARIA,1,82,33,49,2,47
202425,TAEE881039,SCUOLA PRIMARIA,3,30,29,1,0,1
202425,COEE833022,SCUOLA PRIMARIA,3,18,17,1,0,1
202425,BSEE824032,SCUOLA PRIMARIA,5,22,20,2,1,1
202425,LIPS030007,SCUOLA SECONDARIA II GRADO,5,417,408,9,1,8
202425,GEEE81901R,SCUOLA PRIMARIA,1,13,9,4,0,4
202425,IMMM80201T,SCUOLA SECONDARIA I GRADO,2,63,55,8,2,6
202425,LCPC00701G,SCUOLA SECONDARIA II GRADO,4,171,165,6,4,2
202425,PIEE82205P,SCUOLA PRIMARIA,5,35,26,9,0,9
202425,TRMM803013,SCUOLA SECONDARIA I GRADO,1,18,16,2,0,2
202425,SPEE80502E,SCUOLA PRIMARIA,4,2,2,0,0,0
202425,RMMM8FQ017,SCUOLA SECONDARIA I GRADO,2,109,103,6,0,6
202425,LIEE81104D,SCUOLA PRIMARIA,4,19,17,2,0,2
202425,FIEE87503A,SCUOLA PRIMARIA,5,21,19,2,0,2
202425,BOEE82901C,SCUOLA PRIMARIA,4,34,26,8,1,7
202425,NAPS690007,SCUOLA SECONDARIA II GRADO,4,44,44,0,0,0
202425,TOTE058011,SCUOLA SECONDARIA II GRADO,2,75,66,9,3,6
202425,SSEE02713N,SCUOLA PRIMARIA,5,65,60,5,3,2
202425,LTEE819043,SCUOLA PRIMARIA,4,24,23,1,0,1
202425,CSEE88701X,SCUOLA PRIMARIA,5,30,29,1,0,1
202425,CETA04001D,SCUOLA SECONDARIA II GRADO,4,7,7,0,0,0
202425,SAEE16309V,SCUOLA PRIMARIA,3,28,27,1,0,1
202425,FGEE85802V,SCUOLA PRIMARIA,5,14,14,0,0,0
202425,TOEE8BH019,SCUOLA PRIMARIA,1,54,50,4,3,1
202425,AQMM824021,SCUOLA SECONDARIA I GRADO,2,32,29,3,2,1
202425,MIEE8FG021,SCUOLA PRIMARIA,3,19,17,2,0,2
202425,AVEE81701N,SCUOLA PRIMARIA,2,27,27,0,0,0
202425,MIEE87602Q,SCUOLA PRIMARIA,2,16,13,3,1,2
202425,MIEE8FQ03T,SCUOLA PRIMARIA,3,19,17,2,1,1
202425,CLTL00651D,SCUOLA SECONDARIA II GRADO,4,14,14,0,0,0
202425,BAEE870014,SCUOLA PRIMARIA,1,57,54,3,0,3
202425,BAEE81902X,SCUOLA PRIMARIA,2,73,67,6,0,6
202425,CTEE84206P,SCUOLA PRIMARIA,1,52,52,0,0,0
202425,AVMM86002X,SCUOLA SECONDARIA I GRADO,3,12,9,3,0,3
202425,TVEE81604E,SCUOLA PRIMARIA,1,13,13,0,0,0
202425,TPEE84205N,SCUOLA PRIMARIA,1,18,18,0,0,0
202425,VREE840021,SCUOLA PRIMARIA,2,98,86,12,3,9
202425,MEMM87301V,SCUOLA SECONDARIA I GRADO,1,146,138,8,0,8
202425,FGEE86602T,SCUOLA PRIMARIA,4,27,22,5,0,5
202425,TREE01501B,SCUOLA PRIMARIA,3,23,20,3,1,2
202425,BSEE87702D,SCUOLA PRIMARIA,5,67,28,39,2,37
202425,PAMM8AB015,SCUOLA SECONDARIA I GRADO,1,47,37,10,1,9
202425,PCRI004016,SCUOLA SECONDARIA II GRADO,2,46,22,24,6,18
202425,CEPS02000T,SCUOLA SECONDARIA II GRADO,3,336,330,6,1,5
202425,SSPS024036,SCUOLA SECONDARIA II GRADO,4,28,28,0,0,0
202425,SATN05601Q,SCUOLA SECONDARIA II GRADO,4,23,23,0,0,0
202425,BNEE83302C,SCUOLA PRIMARIA,5,13,12,1,0,1
